hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 name,gradeN,1TG Bla,1T GD z,Change,RATE
3.13,660,650,1310,3838,3814,3,13,,,,2.308,0.822,0,G
3.14,470,480,950,3314,3462,4,16,4,College Algebra,1,2.313,0.827,0,G
3.1,580,490,1070,3420,3550,1,15,1,Intermediate Algebra,3,2.267,0.833,1,N
3.42,610,610,1190,3852,3926,1,15,4,Calculus & Analytical Geom I,1,2.583,0.837,0,G
3.6,540,560,1070,3790,3950,4,16,4,Calculus & Analytical Geom I,2,2.75,0.85,0,G
3.8,580,580,1160,4020,4200,1,16,4,Calculus & Analytical Geom I,2,2.938,0.862,1,G
2.3,640,640,1210,3230,3050,0,16,4,Calculus & Analytical Geom I,1,1.438,0.862,0,N
3.45,520,520,1040,3630,3800,0,15,4,Calculus & Analytical Geom I,1,2.583,0.867,0,N
2.7,450,400,850,2870,3010,4,16,,,,1.833,0.867,0,N
3.3,600,600,1090,3670,3730,3,14,3,Trigonometry,3,2.429,0.871,1,N
2.8,640,640,1180,3500,3420,1,17,4,Calculus & Analytical Geom I,0,1.923,0.877,0,N
3.55,540,500,1040,3670,3880,2,15,4,Calculus & Analytical Geom I,3,2.667,0.883,0,G
2.51,320,440,760,2706,2768,4,13,1,Intermediate Algebra,2,1.615,0.895,1,G
3.55,570,570,1000,3700,3840,0,17,4,Calculus & Analytical Geom I,1,2.643,0.907,0,G
2.6,500,500,990,3050,3070,4,15,4,Calculus & Analytical Geom I,1,1.692,0.908,0,G
2.8,450,440,890,3010,3130,2,17,4,College Algebra,1,1.882,0.918,0,N
3.85,680,680,1280,4270,4360,3,16,4,Calculus & Analytical Geom I,3,2.923,0.927,0,G
3,460,460,880,3140,3280,2,14,4,Calculus & Analytical Geom I,1,2.071,0.929,1,N
3.37,680,680,1330,4032,4026,1,16,4,Calculus & Analytical Geom I,3,2.438,0.932,1,N
3,580,620,1180,3600,3580,0,16,4,Calculus & Analytical Geom I,2,2.063,0.937,1,G
3.21,560,500,1060,3486,3628,3,15,4,Calculus & Analytical Geom I,0,2.267,0.943,1,N
3.76,660,630,1290,4176,4298,4,16,4,Calculus & Analytical Geom I,3,2.813,0.947,1,N
3.7,580,580,1090,3890,4050,0,16,4,Calculus & Analytical Geom I,3,2.75,0.95,1,N
2.89,580,540,1120,3394,3432,3,16,3,College Algebra,1,1.938,0.952,1,G
3.69,540,600,1140,3954,4092,3,15,4,Calculus & Analytical Geom I,3,2.733,0.957,0,G
2.88,460,440,900,3068,3204,4,15,4,College Algebra,1,1.917,0.963,1,N
3.67,550,550,950,3702,3886,4,17,4,Calculus & Analytical Geom II,3,2.706,0.964,0,G
3.98,790,780,1570,4738,4754,4,17,4,Calculus & Analytical Geom III,4,3,0.98,1,G
3.83,610,740,1300,4338,4364,0,16,4,Calculus & Analytical Geom I,3,2.846,0.984,0,N
3.79,660,610,1270,4154,4302,3,15,4,Calculus & Analytical Geom II,3,2.8,0.99,0,G
2.7,360,580,940,3140,3100,1,17,4,Calculus & Analytical Geom I,2,1.706,0.994,0,N
3.46,570,580,1150,3806,3918,0,13,4,Calculus & Analytical Geom I,3,2.462,0.998,0,N
4,590,590,1120,4110,4320,4,16,4,Calculus & Analytical Geom II,3,3,1,1,G
3,520,580,1100,3480,3500,4,16,2,College Math for Aviation II,1,2,1,1,G
3.22,570,570,1080,3582,3656,1,14,4,Calculus & Analytical Geom I,2,2.214,1.006,0,G
3.21,700,580,1280,3786,3848,2,16,4,Calculus & Analytical Geom I,2,2.188,1.022,0,N
3.21,640,620,1260,3806,3828,0,16,4,Calculus & Analytical Geom I,2,2.188,1.022,0,N
3.15,630,580,1210,3680,3730,4,16,4,Calculus & Analytical Geom I,2,2.125,1.025,0,N
3.64,590,600,1170,3954,4082,1,13,4,Calculus & Analytical Geom I,3,2.615,1.025,0,G
3.5,580,580,1080,3760,3880,1,15,4,College Algebra,2,2.467,1.033,0,N
3.45,520,640,1160,3870,3920,3,16,4,Calculus & Analytical Geom II,1,2.412,1.038,0,N
3.42,600,600,1130,3782,3866,3,16,4,Calculus & Analytical Geom I,2,2.375,1.045,0,G
3.64,500,470,970,3624,3882,0,17,4,Calculus & Analytical Geom I,1,2.588,1.052,1,N
3.56,560,560,1050,3746,3898,3,16,4,Calculus & Analytical Geom I,1,2.5,1.06,0,N
4,700,700,1280,4380,4480,4,16,4,Calculus & Analytical Geom II,2,2.938,1.062,1,N
3.99,660,740,1400,4534,4592,4,17,4,Calculus & Analytical Geom I,3,2.917,1.073,1,N
4,660,600,1260,4260,4460,0,16,4,Calculus & Analytical Geom II,2,2.923,1.077,0,G
2.41,630,630,1230,3306,3158,0,15,4,College Algebra,1,1.333,1.077,1,N
3.78,660,560,1220,4048,4244,2,16,4,Calculus & Analytical Geom II,2,2.692,1.088,0,N
2.34,490,490,940,2834,2812,4,15,4,Calculus & Analytical Geom I,1,1.25,1.09,1,N
3.3,520,520,960,3460,3600,0,15,4,Calculus & Analytical Geom I,2,2.2,1.1,0,G
3.75,670,670,1270,4190,4270,2,17,4,Calculus & Analytical Geom II,3,2.647,1.103,0,G
3.5,580,540,1120,3760,3920,3,16,4,Calculus & Analytical Geom I,1,2.385,1.115,0,N
3.66,620,650,1270,4116,4198,2,17,4,Calculus & Analytical Geom I,3,2.529,1.131,0,G
3.3,660,560,1220,3760,3860,3,14,4,Calculus & Analytical Geom I,1,2.154,1.146,0,N
3.3,550,550,1100,3630,3740,4,17,4,Calculus & Analytical Geom I,1,2.143,1.157,0,G
3.73,700,650,1350,4238,4334,2,17,4,Calculus & Analytical Geom I,2,2.571,1.159,0,N
3.98,720,600,1320,4308,4504,4,16,4,Calculus & Analytical Geom I,3,2.813,1.167,1,N
3.98,630,550,1180,4118,4364,1,16,4,Calculus & Analytical Geom I,3,2.813,1.167,1,G
3.52,630,630,1180,3922,3996,0,17,4,Calculus & Analytical Geom III,1,2.353,1.167,1,G
3.9,700,740,1320,4400,4440,3,16,4,Calculus & Analytical Geom III,3,2.688,1.212,0,G
3.41,670,650,1320,4016,4048,0,16,4,Calculus & Analytical Geom II,1,2.188,1.222,0,G
2.92,600,530,1130,3412,3466,2,16,4,Calculus & Analytical Geom I,0,1.692,1.228,0,N
3.97,690,630,1320,4332,4496,2,17,4,Calculus & Analytical Geom I,1,2.714,1.256,1,G
3.45,590,590,1120,3780,3880,0,16,4,Calculus & Analytical Geom I,2,2.188,1.262,0,N
3.68,600,620,1220,4048,4164,3,12,4,Calculus & Analytical Geom I,1,2.417,1.263,0,N
2.81,570,570,1060,3316,3308,0,16,4,Calculus & Analytical Geom I,1,1.538,1.272,1,N
3.9,580,520,1100,3960,4220,3,16,4,Calculus & Analytical Geom I,3,2.625,1.275,0,G
2.9,610,610,1100,3450,3420,0,16,4,Calculus & Analytical Geom I,1,1.615,1.285,0,N
3.71,640,680,1320,4226,4288,1,15,4,Calculus & Analytical Geom I,3,2.417,1.293,0,G
3.8,700,700,1300,4280,4340,0,16,4,Calculus & Analytical Geom II,3,2.5,1.3,0,G
2.98,450,430,880,3098,3264,4,15,4,College Algebra,2,1.667,1.313,0,N
3.97,640,620,1260,4262,4436,0,17,4,Calculus & Analytical Geom III,2,2.647,1.323,0,G
3.7,510,650,1160,4030,4120,1,16,4,Calculus & Analytical Geom II,2,2.375,1.325,0,G
3.73,510,510,930,3678,3914,0,15,4,Calculus & Analytical Geom I,1,2.4,1.33,1,N
3.28,450,580,1030,3578,3654,3,16,4,Calculus & Analytical Geom I,1,1.938,1.342,1,G
3.36,440,420,860,3296,3548,0,12,,,,2,1.36,0,N
3.03,590,520,1110,3448,3534,4,16,,,,1.667,1.363,0,N
3.01,610,610,1120,3536,3528,0,17,4,Calculus & Analytical Geom I,1,1.643,1.367,0,G
3,600,580,1180,3560,3580,0,16,4,College Algebra,0,1.625,1.375,0,N
3.38,760,760,1500,4288,4204,4,16,4,Calculus & Analytical Geom II,1,2,1.38,0,N
3.9,620,620,1220,4180,4340,4,16,4,Calculus & Analytical Geom I,2,2.5,1.4,0,N
3.6,510,470,980,3610,3860,4,15,4,College Algebra,3,2.2,1.4,0,G
3.3,650,650,1280,3910,3920,3,18,4,Calculus & Analytical Geom I,0,1.867,1.433,0,N
2.82,590,600,1160,3452,3416,0,14,4,Calculus & Analytical Geom II,0,1.357,1.463,0,G
3.85,740,600,1340,4250,4420,0,16,4,Calculus & Analytical Geom I,2,2.375,1.475,1,N
3,450,390,840,3030,3240,0,16,1,Intermediate Algebra,0,1.5,1.5,0,N
2.83,560,560,1070,3328,3334,3,16,4,Calculus & Analytical Geom I,0,1.313,1.517,0,N
3.21,470,520,990,3436,3558,0,16,4,Calculus & Analytical Geom I,0,1.692,1.518,0,G
3.89,630,610,1240,4184,4352,4,17,4,Calculus & Analytical Geom II,2,2.353,1.537,0,G
3.9,580,720,1300,4360,4420,0,14,4,Calculus & Analytical Geom I,2,2.357,1.543,0,N
2.94,590,540,1130,3434,3482,3,13,2,College Math for Aviation II,0,1.385,1.555,0,G
3.7,540,540,1080,3840,4040,3,14,1,Intermediate Algebra,3,2.143,1.557,0,N
3,640,620,1260,3680,3660,4,17,4,Calculus & Analytical Geom I,0,1.429,1.571,1,G
3.02,620,620,1180,3612,3596,4,17,4,College Algebra,1,1.429,1.591,0,N
2.75,710,710,1400,3760,3600,0,16,4,Calculus & Analytical Geom I,2,1.154,1.596,1,N
3.13,510,580,1090,3548,3594,3,15,4,College Algebra,1,1.533,1.597,0,N
3.11,760,760,1400,4026,3888,4,16,4,Calculus & Analytical Geom II,1,1.5,1.61,1,N
3.2,590,540,1130,3590,3690,0,16,4,Calculus & Analytical Geom I,1,1.563,1.637,1,N
3.9,600,590,1190,4120,4310,3,16,4,Calculus & Analytical Geom I,2,2.25,1.65,0,N
3.24,470,420,890,3254,3482,0,12,1,Intermediate Algebra,2,1.583,1.657,0,N
2.95,470,460,930,3160,3290,4,14,4,Calculus & Analytical Geom I,0,1.286,1.664,0,N
2.89,580,600,1180,3514,3492,0,14,4,Calculus & Analytical Geom I,0,1.214,1.676,0,N
3.4,540,540,930,3510,3650,3,17,4,Calculus & Analytical Geom I,2,1.706,1.694,1,G
3.81,680,600,1280,4166,4328,3,16,4,Calculus & Analytical Geom I,0,2.077,1.733,1,G
3.07,520,560,940,3342,3396,2,16,4,Calculus & Analytical Geom I,2,1.313,1.757,0,N
3.3,580,600,1180,3760,3820,3,16,4,Calculus & Analytical Geom I,2,1.538,1.762,0,N
3,580,680,1260,3740,3660,2,16,4,Calculus & Analytical Geom I,1,1.231,1.769,0,G
3.37,450,450,870,3342,3566,4,17,4,Calculus & Analytical Geom I,1,1.6,1.77,1,N
3.35,590,590,1150,3750,3830,0,17,4,Calculus & Analytical Geom I,2,1.571,1.779,0,N
2.55,590,590,1000,3120,3040,3,14,4,Calculus & Analytical Geom II,0,0.769,1.781,0,N
3.67,530,560,1060,3822,3996,3,16,4,Calculus & Analytical Geom I,3,1.875,1.795,0,N
3.3,500,500,980,3460,3620,1,16,4,College Algebra,2,1.5,1.8,0,N
3.22,600,570,1170,3672,3746,4,16,2,College Math for Aviation II,1,1.4,1.82,0,N
2.71,500,500,960,3086,3128,4,17,4,College Algebra,0,0.882,1.828,1,N
3.95,650,650,1210,4230,4370,1,15,4,Calculus & Analytical Geom I,0,2.083,1.867,1,N
3.37,520,500,1020,3542,3716,4,17,3,Trigonometry,1,1.462,1.908,0,N
3.88,630,630,1150,4108,4254,4,16,4,Calculus & Analytical Geom II,1,1.938,1.942,1,G
3.7,670,630,1300,4150,4260,2,16,4,Trigonometry,2,1.688,2.012,1,N
3.3,500,500,990,3470,3630,1,17,4,Calculus & Analytical Geom I,0,1.286,2.014,1,N
2.88,530,620,1070,3418,3374,0,15,4,Calculus & Analytical Geom II,0,0.833,2.047,0,N
3.2,470,470,850,3240,3410,3,17,4,Calculus & Analytical Geom I,0,1.143,2.057,0,N
2.86,540,540,1080,3336,3368,0,16,4,Calculus & Analytical Geom I,0,0.75,2.11,0,N
3.35,590,570,1160,3740,3840,4,13,4,Calculus & Analytical Geom I,0,1.231,2.119,0,G
3.44,700,700,1380,4144,4132,0,15,4,Calculus & Analytical Geom II,0,1.308,2.132,0,N
2.97,540,680,1220,3682,3596,4,16,,,,0.833,2.137,0,N
3.72,710,710,1340,4282,4316,2,17,4,Calculus & Analytical Geom I,0,1.571,2.149,0,N
2.78,470,540,1010,3218,3234,3,17,,,,0.615,2.165,0,N
3.7,700,560,1260,4040,4220,4,17,4,Calculus & Analytical Geom II,0,1.5,2.2,0,N
3.3,610,610,1170,3760,3810,4,16,4,Calculus & Analytical Geom I,1,1.063,2.237,0,N
3.35,610,580,1190,3780,3870,4,15,1,Intermediate Algebra,2,1.067,2.283,1,N
2.3,460,460,820,2660,2660,0,16,1,Intermediate Algebra,0, ,2.3,0,N
3.25,700,700,1340,3990,3940,4,12,5,Differential Eq & Matrix Meth,0,0.917,2.333,0,N
3,520,490,1010,3300,3410,4,16,4,Calculus & Analytical Geom I,0,0.625,2.375,1,N
3.7,640,640,1260,4120,4220,1,17,4,Calculus & Analytical Geom I,0,1.308,2.392,0,N
2.7,680,680,1220,3520,3380,3,14,4,Calculus & Analytical Geom I,0,0.3,2.4,0,N
3.9,640,640,1180,4160,4300,1,16,4,Calculus & Analytical Geom III,0,1.462,2.438,0,N
2.9,490,560,1050,3350,3370,4,15,3,College Algebra,0,0.417,2.483,0,N
2.5,450,500,950,2950,2950,0,15,4,Calculus & Analytical Geom I,0, ,2.5,0,N
2.95,570,570,1140,3480,3500,0,15,3,College Algebra,0,0.438,2.512,1,N
3.63,540,500,1040,3718,3944,3,17,4,Calculus & Analytical Geom I,0,1.118,2.512,1,N
2.71,500,500,860,2986,3028,2,15,4,College Algebra,0,0.167,2.543,0,N
2.6,430,410,840,2810,2920,3,14,,,, ,2.6,0,N
3.04,580,580,1050,3454,3482,0,16,4,Calculus & Analytical Geom I,0,0.429,2.611,0,N
3.57,510,510,1020,3672,3876,4,17,4,Calculus & Analytical Geom I,0,0.941,2.629,0,N
3.29,770,650,1420,4044,4052,4,16,4,Calculus & Analytical Geom I,0,0.615,2.675,0,N
3.05,630,640,1200,3670,3640,4,16,4,Calculus & Analytical Geom I,0,0.375,2.675,0,N
2.91,640,560,1200,3506,3528,4,14,4,Calculus & Analytical Geom II,0,0.214,2.696,1,N
3.03,510,510,960,3288,3384,4,15,4,Calculus & Analytical Geom I,1,0.333,2.697,0,N
2.7,540,540,1070,3230,3230,2,12,4,College Algebra,0, ,2.7,1,N
3.36,510,440,950,3406,3638,0,17,4,Calculus & Analytical Geom I,0,0.643,2.717,1,N
2.8,600,500,1100,3280,3340,0,16,5,Calculus & Analytical Geom I,0, ,2.8,0,N
2.846,600,600,1200,3507.6,3476.8,0,15,4,College Algebra,0, ,2.846,0,N
3.37,580,640,1220,3882,3916,4,16,,,, ,3.37,0,G
3.38,640,600,1240,3868,3944,3,15,4,College Algebra,0,0,3.38,0,N
3.45,460,480,930,3480,3690,3,17,4,Calculus & Analytical Geom I,0, ,3.45,0,N
3.532,560,560,1080,3759.2,3905.6,0,14,,,, ,3.532,0,N
3.6,520,520,890,3570,3770,3,16,4,Calculus & Analytical Geom I,0, ,3.6,0,N
3.74,370,370,690,3304,3682,1,17,,,, ,3.74,0,N
3.81,540,540,1050,3876,4098,3,16,4,Calculus & Analytical Geom I,0, ,3.81,0,N
3.9,420,500,920,3760,4040,4,16,4,Calculus & Analytical Geom I,0, ,3.9,0,N
,,,,,,,,,,,,0.756656751,,95
,,,,,,,,,,,,0.846801576,,32
,,,,,,,,,,,,,,0.748031496
