hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,RATE.NND
2.96,940,3,17,2,2,1.588,1.372,G
3.66,1180,3,16,2,3,3.188,0.472,N
3.5,1410,2,14,4,2,3.214,0.286,G
3,770,1,15,1,1,2.133,0.867,N
3.7,850,3,16,1,2,2.867,0.833,G
3.21,1110,4,14,4,3,3.429,-0.219,G
3.91,1420,0,15,5,3,3.733,0.177,G
3.77,1160,4,14,2,4,2.923,0.847,G
2.78,1050,0,16,4,3,2.25,0.53,G
3.7,1330,0,16,2,4,4,-0.3,G
3.22,900,0,17,2,1,2.765,0.455,G
3.8,1430,0,17,4,4,4,-0.2,G
3.96,1120,0,16,4,4,3.813,0.147,G
3.67,1270,4,16,4,1,3.25,0.42,G
2.5,950,0,15,4,0,0,2.5,N
3.51,1160,3,17,1,2,3.118,0.392,G
3.06,1010,4,12,,,1.333,1.727,N
3.17,1200,3,17,,,3.647,-0.477,G
4,1290,4,16,4,4,3.438,0.562,G
2.88,900,4,15,4,1,1.917,0.963,N
3.95,1280,0,16,2,4,3.813,0.137,G
2.6,900,4,14,1,2,2.846,-0.246,G
4,1110,2,16,4,3,3.75,0.25,G
3.16,1080,0,15,2,2,3.6,-0.44,G
2.89,1180,0,14,4,0,1.214,1.676,N
3.6,1230,3,17,2,1,2,1.6,G
3.41,1320,0,16,4,1,2.188,1.222,G
3.8,1230,3,16,4,4,3.438,0.362,N
2.7,1130,4,15,3,1,1.333,1.367,N
3.73,1100,4,15,4,3,3.133,0.597,G
3.65,1160,3,16,2,2,2.938,0.712,G
2.18,960,4,13,1,0,0.846,1.334,N
3.5,1080,1,15,4,2,2.467,1.033,N
3.85,1200,0,16,2,3,3.8,0.05,G
2.8,1180,4,16,4,2,2.75,0.05,G
3.27,990,3,16,2,2,3.063,0.207,G
3.25,990,4,16,1,2,3.4,-0.15,G
3.18,1210,4,16,2,4,3.067,0.113,N
3.95,1210,1,15,4,0,2.083,1.867,N
3.11,980,2,14,2,3,3.357,-0.247,G
3.5,940,3,12,,,2.333,1.167,N
4,1240,4,16,,,3.625,0.375,G
3,1210,4,16,2,3,3.067,-0.067,G
3.45,980,2,16,2,2,2.467,0.983,G
3.07,960,3,16,2,0,2.667,0.403,G
3.3,1330,4,16,2,4,3.8,-0.5,G
3.45,1120,0,16,4,2,2.188,1.262,N
3.88,1220,3,15,3,1,3.133,0.747,N
3,1360,4,14,2,4,3.385,-0.385,N
3.64,1170,1,13,4,3,2.615,1.025,G
3.56,1150,1,16,4,4,3.813,-0.253,N
2.95,1030,1,17,2,0,1.214,1.736,N
2.8,1020,1,16,3,4,2.813,-0.013,N
