Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
LiuSelectedDataFirstTerm,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,49.0,47.0,0.0,51.041666666666664,48.958333333333336,0.0,0.0748410908345294,0.3573326562228471,0.48372963019286813,93.5542176229913,110.58431675408504,130.12450069157816,8710.96214813838,-8580.837647446802,1.355463548870606,90.73918904310813,-89.38372549423752,16.007392457222096,0.16674367142939683,1185.0896594729118,0.7843137254901961,40.0,0.6444444444444445,29.0,0.35555555555555557,16.0,0.21568627450980393,11.0,0.5797101449275363,0.7843137254901961,0.6666666666666666,0.569281045751634,0.5104166666666666,0.42611540009319276,0.5738845999068073,0.4895833333333333,0.4571187417654809,0.5104166666666666,0.4692982456140351,0.56758297327064,0.047,0.0,0.046875,0.0,26020.0,89035.0,11770.0,'Number of leaves: 57\nSize of the tree: 113\n',113.0,57.0,57.0
LiuSelectedDataFirstTerm,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,58.0,38.0,0.0,60.416666666666664,39.583333333333336,0.0,0.23489932885906029,0.3218478316449361,0.4526429616941928,84.26384087442672,103.47766505959177,130.12450069157816,9766.198353441223,-9636.073852749645,1.355463548870606,101.73123284834607,-100.37576929947546,22.845626795519948,0.23797527911999947,1691.3508025682763,0.8431372549019608,43.0,0.5555555555555556,25.0,0.4444444444444444,20.0,0.1568627450980392,8.0,0.6323529411764706,0.8431372549019608,0.722689075630252,0.657516339869281,0.6041666666666666,0.37283697632058294,0.6271630236794171,0.3958333333333333,0.53125,0.6041666666666666,0.5575396825396824,0.6405949506502309,0.047,0.0,0.046875,0.0,30431.0,89035.0,11770.0,'Number of leaves: 68\nSize of the tree: 135\n',135.0,68.0,68.0
LiuSelectedDataFirstTerm,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,54.0,42.0,0.0,56.25,43.75,0.0,0.21586931155192532,0.34628312300367076,0.487044401004432,90.66130980329676,111.342098875571,130.12450069157816,15139.550169795764,-15009.425669104186,1.355463548870606,157.7036476020392,-156.3481840531686,19.263355650282218,0.20065995469043976,1426.1413062062345,0.7058823529411765,36.0,0.4,18.0,0.6,27.0,0.29411764705882354,15.0,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.6276688453159042,0.5625,0.3273494090735799,0.6726505909264201,0.4375,0.5364583333333334,0.5625,0.5491448692152918,0.6082715578712529,0.047,0.0,0.046875,0.0,39654.0,89035.0,11770.0,'Number of leaves: 91\nSize of the tree: 181\n',181.0,91.0,91.0
LiuSelectedDataFirstTerm,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,51.0,45.0,0.0,53.125,46.875,0.0,0.1776127926898915,0.3318853099241656,0.47438617970956615,86.8917798857872,108.44833205658033,130.12450069157816,14060.240301469517,-13930.11580077794,1.355463548870606,146.4608364736408,-145.1053729247702,25.094779101294325,0.2614039489718159,1857.8643148268138,0.7058823529411765,36.0,0.4888888888888889,22.0,0.5111111111111111,23.0,0.29411764705882354,15.0,0.6206896551724138,0.7058823529411765,0.6605504587155964,0.6647058823529411,0.53125,0.3542982484008981,0.6457017515991019,0.46875,0.5222093280282936,0.53125,0.5208298708061871,0.6109394856398526,0.046,0.0,0.046875,0.0,36446.0,89035.0,11770.0,'Number of leaves: 83\nSize of the tree: 165\n',165.0,83.0,83.0
LiuSelectedDataFirstTerm,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,45.0,51.0,0.0,46.875,53.125,0.0,0.029341792228390187,0.37406240813920916,0.5143202000808209,97.93427867900043,117.57755648767045,130.12450069157816,13012.92510332038,-12882.800602628802,1.355463548870606,135.5513031595873,-134.1958396107167,8.813704689614571,0.09180942385015178,652.5129134694032,0.6078431372549019,31.0,0.5777777777777777,26.0,0.4222222222222222,19.0,0.39215686274509803,20.0,0.543859649122807,0.6078431372549019,0.5740740740740741,0.5098039215686274,0.46875,0.44206723641292833,0.5579327635870717,0.53125,0.45038377192982454,0.46875,0.45527447089947093,0.5095171718134451,0.047,0.0,0.046875,0.0,34842.0,89035.0,11770.0,'Number of leaves: 79\nSize of the tree: 157\n',157.0,79.0,79.0
LiuSelectedDataFirstTerm,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,52.0,44.0,0.0,54.166666666666664,45.833333333333336,0.0,0.19420068676077828,0.32688982122520677,0.45649212148222634,85.58389764010707,104.3576126143183,130.12450069157816,5483.808119001216,-5353.683618309638,1.355463548870606,57.123001239596,-55.7675376907254,28.340908796117073,0.29521779995955283,2098.187949355232,0.6666666666666666,34.0,0.4444444444444444,20.0,0.5555555555555556,25.0,0.3333333333333333,17.0,0.6296296296296297,0.6666666666666666,0.6476190476190475,0.6816993464052288,0.5416666666666666,0.34619498453848435,0.6538050154615157,0.4583333333333333,0.5366391782407408,0.5416666666666666,0.5385438877043355,0.6574680576735714,0.047,0.0,0.046875,0.0,38050.0,89035.0,11770.0,'Number of leaves: 87\nSize of the tree: 173\n',173.0,87.0,87.0
LiuSelectedDataFirstTerm,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,54.0,42.0,0.0,56.25,43.75,0.0,0.18545454545454546,0.321229454730214,0.4746958470468065,84.33798396158143,108.86186100962126,129.56027494868516,9776.983340630826,-9647.423065682142,1.349586197382137,101.84357646490444,-100.4939902675223,24.79637434239657,0.25829556606663095,1834.8829792182773,0.75,39.0,0.5,22.0,0.5,22.0,0.25,13.0,0.639344262295082,0.75,0.6902654867256638,0.663243006993007,0.5625,0.3715772693173293,0.6284227306826707,0.4375,0.5322993786356426,0.5625,0.5413388602547896,0.6284821382902543,0.047,0.0,0.046875,0.0,44065.0,89035.0,11770.0,'Number of leaves: 102\nSize of the tree: 203\n',203.0,102.0,102.0
LiuSelectedDataFirstTerm,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,55.0,40.0,0.0,57.89473684210526,42.10526315789474,0.0,0.22858302882663425,0.3174188981205335,0.47326746427964506,83.78305087813918,109.18950036373137,126.2945818234773,14049.209775575126,-13922.915193751649,1.3294166507734453,147.8864186902645,-146.55700203949104,27.49122038358666,0.28938126719564905,2030.959525834628,0.7692307692307693,40.0,0.4186046511627907,18.0,0.5813953488372093,25.0,0.23076923076923078,12.0,0.6896551724137931,0.7692307692307693,0.7272727272727274,0.7139982110912343,0.5789473684210527,0.33438007905772815,0.6656199209422717,0.42105263157894735,0.5596508512660963,0.5789473684210527,0.567165071770335,0.6565463410718944,0.047,0.0,0.046875,0.0,38451.0,89136.0,11669.0,'Number of leaves: 88\nSize of the tree: 175\n',175.0,88.0,88.0
LiuSelectedDataFirstTerm,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,58.0,37.0,0.0,61.05263157894737,38.94736842105263,0.0,0.2560846560846561,0.31080411639992883,0.45287477513221297,82.03707230935605,104.48461843724995,126.2945818234773,10828.614424643856,-10702.31984282038,1.3294166507734453,113.98541499625112,-112.65599834547768,27.112899387969225,0.28539894092599183,2003.0104344828592,0.8461538461538461,44.0,0.4883720930232558,21.0,0.5116279069767442,22.0,0.15384615384615385,8.0,0.676923076923077,0.8461538461538461,0.7521367521367521,0.6947674418604651,0.6105263157894737,0.3468968838413227,0.6531031161586773,0.3894736842105263,0.5731578947368421,0.6105263157894737,0.5813585245164193,0.6406946646066176,0.046,0.0,0.046875,0.0,40456.0,89136.0,11669.0,'Number of leaves: 93\nSize of the tree: 185\n',185.0,93.0,93.0
LiuSelectedDataFirstTerm,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,49.0,46.0,0.0,51.578947368421055,48.421052631578945,0.0,0.13034825870646777,0.3348782462400971,0.4827711642592677,87.76935961550082,110.49822109119762,128.65658798814323,7632.270723854497,-7503.6141358663535,1.3542798735594024,80.33969183004734,-78.98541195648794,23.247971851454146,0.24471549317320154,1720.9652317420978,0.7058823529411765,36.0,0.5,22.0,0.5,22.0,0.29411764705882354,15.0,0.6206896551724138,0.7058823529411765,0.6605504587155964,0.6372549019607843,0.5157894736842106,0.38608841293204077,0.6139115870679592,0.4842105263157895,0.4950335609137787,0.5157894736842106,0.5028375521286355,0.5950403491854032,0.031,0.0,0.03125,0.0,38451.0,89136.0,11669.0,'Number of leaves: 88\nSize of the tree: 175\n',175.0,88.0,88.0
