hsgpa,SUPER V,SUPER M,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 ,gradeN,1TG Bla,1T GD b,Change,RATE
3.7,460,460,3830,0,16,2,111,0,1.375,2.325,0,N
3.43,420,420,3484,3,17,1,6,4,3.412,0.018,0,G
3.56,490,490,3798,3,16,2,112,3,2.867,0.693,0,G
3,650,520,3570,2,17,2,111,0,0.385,2.615,1,N
3.24,570,450,3612,3,16,2,111,1,2.2,1.04,0,N
3.07,500,490,3446,4,15,2,111,1,2.6,0.47,0,N
2.87,360,460,3116,3,15,1,5,3,3,-0.13,0,G
3.42,680,600,4016,2,12,,,,4,-0.58,0,N
2.46,420,360,2748,4,13,2,111,0,0.444,2.016,0,N
2.59,500,500,2932,1,14,2,111,2,1.643,0.947,0,N
2.88,480,480,3234,0,16,1,5,4,2.563,0.317,0,N
3.58,580,500,3944,1,16,2,111,1,1.933,1.647,0,N
3.52,550,550,3706,3,12,,,,3.333,0.187,1,N
2.3,340,360,2530,2,14,1,6,0,0.214,2.086,0,N
2.95,530,450,3340,0,12,,,,3,-0.05,1,G
2.5,630,500,3130,2,14,,,,1.429,1.071,1,N
2.65,490,490,3050,0,17,1,6,0,0.529,2.121,0,N
3.28,500,500,3624,0,13,1,6,4,3.077,0.203,0,G
2.97,530,580,3466,1,16,1,6,0,1.533,1.437,0,N
2.7,410,410,2890,1,14,2,111,0,1.214,1.486,1,N
3,540,540,3380,3,14,2,112,1,2.929,0.071,0,G
2.8,440,420,3100,4,16,1,6,2,1.8,1,1,N
2.98,420,440,3244,0,16,1,6,1,1.533,1.447,0,G
3,560,450,3410,2,14,2,111,0,1,2,0,G
3.38,450,580,3724,0,16,1,6,3,2.467,0.913,1,G
2,520,520,2500,0,13,2,111,3,1.75,0.25,1,G
3.71,570,550,4088,4,16,2,112,4,3.813,-0.103,0,G
4,600,640,4330,2,15,,,,3.8,0.2,0,G
2.7,550,540,3250,3,16,1,6,2,3,-0.3,1,G
3.57,580,600,3926,4,16,2,112,3,3.188,0.382,1,G
3.52,620,620,4046,3,15,2,112,3,3.429,0.091,0,G
3.96,640,650,4458,2,15,2,112,4,4,-0.04,1,G
3.48,550,560,3894,4,16,2,111,3,3.067,0.413,0,G
3.08,400,400,3224,2,17,2,111,3,3.313,-0.233,0,N
3.06,500,520,3458,2,15,,,,2.8,0.26,0,N
3.3,470,520,3630,0,16,1,6,2,3.067,0.233,1,G
3.65,700,700,4230,4,16,,,,3.467,0.183,1,N
3.38,450,620,3774,3,16,2,112,0,1.933,1.447,0,G
2.82,390,420,3066,2,16,1,6,0, ,,0,N
3.47,510,510,3746,0,15,2,111,2,2,1.47,0,G
3.4,600,600,3740,0,16,2,111,3,3.2,0.2,1,N
2.7,560,540,3260,3,15,2,111,1,1.933,0.767,1,G
3.41,570,550,3848,0,16,1,6,3,3.375,0.035,0,G
2.88,560,560,3424,0,16,2,112,3,3,-0.12,1,G
2.44,480,340,2772,0,16,2,120,0,1.375,1.065,0,N
2.78,550,550,3274,1,15,2,111,0,1.6,1.18,0,G
3.47,580,580,3906,0,16,2,112,4,3.267,0.203,1,G
2.56,510,420,2978,0,12,2,111,0,0,2.56,1,G
3.05,570,570,3420,1,17,2,112,3,3.471,-0.421,1,G
3.4,600,580,3900,3,15,2,111,3,3.6,-0.2,1,G
3.47,500,430,3706,0,17,1,6,2,2.706,0.764,0,G
3.08,620,580,3664,0,15,3,241,1,1.4,1.68,1,N
3.27,490,560,3666,0,16,2,111,2,3.063,0.207,0,G
3,650,650,3570,0,16,2,112,3,2.667,0.333,1,G
3.76,680,580,4268,3,16,2,112,4,4,-0.24,0,N
3.14,600,510,3622,3,16,2,111,2,2.733,0.407,0,N
2.7,530,530,3170,3,17,2,111,2,2.941,-0.241,0,N
3.25,540,500,3640,0,16,2,111,0,2.125,1.125,0,N
3.26,420,390,3418,0,17,2,111,0,2.571,0.689,0,G
2.34,480,440,2792,3,15,1,6,2,1.714,0.626,1,G
3.64,670,670,4102,4,17,,,,3.118,0.522,0,G
3.28,540,540,3704,4,15,2,111,3,3.286,-0.006,0,G
3,640,640,3580,3,16,2,112,3,3.133,-0.133,0,N
2.75,570,540,3310,3,17,2,111,1,1.688,1.062,1,N
3.66,640,650,4118,0,16,2,112,4,3.125,0.535,0,G
3.1,530,530,3530,1,12,,,,3.25,-0.15,0,N
3.94,510,510,4132,4,16,2,112,3,2.385,1.555,0,N
3.3,660,660,3800,4,16,,,,2.875,0.425,0,G
2.7,510,510,3150,4,15,1,6,3,1.733,0.967,0,N
2.57,590,490,3136,1,16,2,111,0,2.583,-0.013,1,N
2.75,580,460,3240,1,16,1,5,2,2.154,0.596,0,G
3.21,570,540,3678,0,17,1,6,0,2,1.21,1,G
3.55,520,620,3980,2,17,1,6,3,2.882,0.668,0,N
3.03,440,420,3284,0,16,,,,2.231,0.799,0,G
3.11,510,510,3438,3,14,2,112,1,2.357,0.753,0,N
3.02,640,560,3616,4,14,1,6,1,1.308,1.712,0,N
2,670,670,2790,3,13,2,111,0,0.692,1.308,0,N
3.23,550,480,3614,4,16,2,111,2,3.063,0.167,0,N
3.13,650,650,3674,2,12,,,,3,0.13,0,G
2.9,490,360,3170,3,17,1,6,3,2.706,0.194,1,G
3.3,610,610,3810,2,16,2,112,4,3.625,-0.325,1,G
3,420,420,3160,0,15,1,5,4,3.4,-0.4,0,G
3.13,450,450,3384,1,16,2,112,1,2.563,0.567,0,N
2.7,410,410,2970,3,17,2,112,1,1.75,0.95,0,G
3.41,520,580,3828,4,17,4,142,4,3.588,-0.178,0,G
3.16,580,600,3708,1,12,,,,2.417,0.743,1,G
3.51,490,360,3658,3,15,2,111,2,3.2,0.31,1,G
2.9,640,640,3470,0,16,2,112,3,3.267,-0.367,0,G
4,620,780,4600,0,13,2,112,4,4,0,0,G
3.09,480,480,3382,4,17,1,6,3,2.375,0.715,0,G
3.48,540,540,3804,2,15,2,111,2,2.857,0.623,0,G
3.32,530,530,3696,2,13,3,241,0,1.385,1.935,1,N
3.82,580,640,4276,4,15,,,,4,-0.18,0,G
2.27,470,420,2706,2,16,1,5,3,2.533,-0.263,0,G
2.75,590,590,3310,3,14,2,112,4,3.231,-0.481,0,G
3.86,520,520,4128,0,16,2,111,3,3.267,0.593,0,G
3.47,520,560,3856,4,15,2,111,3,2.714,0.756,0,G
2.47,390,440,2806,3,12,,,,2.5,-0.03,0,N
3.27,690,690,3966,4,16,,,,3.25,0.02,1,G
3.22,610,610,3756,0,16,2,111,3,3.267,-0.047,1,N
2.89,660,610,3582,4,16,2,111,3,2.6,0.29,0,G
2.42,580,530,3046,3,16,1,6,0,0.933,1.487,0,N
3.13,520,580,3574,4,15,2,112,2,2.357,0.773,1,N
3.91,650,650,4378,4,16,3,242,3,3,0.91,1,G
2.73,460,460,3034,4,14,1,6,2,2.846,-0.116,0,N
2.7,540,540,3240,3,12,,,,2.583,0.117,1,N
2.7,620,620,3330,1,16,2,111,3,3,-0.3,0,G
3.9,740,690,4550,1,16,,,,4,-0.1,1,G
2.98,490,460,3334,4,12,,,,1,1.98,0,N
2.98,490,540,3414,2,16,2,111,2,2,0.98,0,N
3.26,470,450,3528,3,12,,,,2.417,0.843,0,N
2.66,410,410,2938,4,15,1,6,1,1.8,0.86,0,N
2.35,560,560,2980,0,14,2,111,0,1,1.35,0,N
3.22,580,580,3736,4,16,1,6,3,2,1.22,1,G
3.7,510,510,3980,2,16,1,6,4,4,-0.3,0,N
3.7,580,580,4050,1,14,2,112,4,4,-0.3,0,N
2.68,560,560,3224,0,16,2,112,2,3.063,-0.383,0,G
3.31,530,580,3748,0,16,2,111,1,2.467,0.843,1,G
2.47,520,500,2996,2,13,1,5,1,1.75,0.72,1,N
2.87,420,480,3106,3,17,1,6,0,1.875,0.995,1,G
3.08,600,600,3644,4,16,2,112,4,3.133,-0.053,0,G
3.68,550,560,4044,0,16,3,220,4,3.25,0.43,0,G
2.94,570,570,3432,3,16,2,111,0,1.438,1.502,0,G
2.78,350,440,3014,3,12,1,6,1,2.364,0.416,0,N
2.74,490,490,3132,0,16,2,111,1,2.133,0.607,0,G
3.74,530,510,4032,3,16,,,,3.813,-0.073,0,G
3.7,580,580,4090,4,16,1,6,4,3.067,0.633,0,G
3.14,520,520,3552,1,16,2,111,3,2.538,0.602,0,N
2.93,800,800,3844,4,15,3,242,4,3.267,-0.337,0,N
3.7,600,600,4150,1,16,,,,2.867,0.833,1,G
2.3,490,540,2870,4,15,2,111,3,2.4,-0.1,1,G
2.76,420,410,3038,1,17,1,5,3,1.714,1.046,1,G
2.68,420,460,2984,0,15,2,112,0,1.75,0.93,0,N
3.7,690,690,4230,0,15,2,112,4,2.6,1.1,0,G
3,490,490,3370,4,12,,,,1.75,1.25,1,N
4,720,650,4570,0,16,,,,4,0,0,G
3.98,680,680,4524,0,16,2,111,2,3.267,0.713,0,N
2.82,530,600,3386,2,16,2,111,1,3,-0.18,1,N
3.32,550,550,3686,0,14,1,6,2,1.929,1.391,0,N
2.88,570,520,3394,2,15,,,,1.909,0.971,0,N
1.91,490,420,2438,2,16,1,5,2,1.8,0.11,0,N
3.65,540,580,4040,4,15,2,111,2,2.667,0.983,0,N
2.55,490,490,2980,3,16,1,6,2,2.813,-0.263,1,N
2.8,460,420,3120,4,16,1,6,2,2.667,0.133,0,N
2.8,520,520,3250,2,16,1,6,0,1.333,1.467,1,N
2.15,500,500,2680,0,16,1,6,0,1.867,0.283,0,N
3.12,480,480,3376,4,17,2,111,2,3.118,0.002,1,G
2.96,550,550,3308,3,17,2,112,2,1.588,1.372,0,G
3.66,600,580,4108,3,16,2,111,3,3.188,0.472,0,N
3,410,410,3170,1,15,1,6,1,2.133,0.867,1,N
3.7,430,430,3810,3,16,1,6,2,2.867,0.833,1,G
3.77,620,620,4176,4,14,2,112,4,2.923,0.847,0,G
3.7,680,650,4290,0,16,2,112,4,4,-0.3,1,G
3.22,450,450,3476,0,17,2,111,1,2.765,0.455,0,G
3.51,580,580,3968,3,17,1,6,2,3.118,0.392,0,G
3.06,550,460,3458,4,12,,,,1.333,1.727,1,N
3.17,590,650,3736,3,17,,,,3.647,-0.477,0,G
3.95,640,640,4440,0,16,2,111,4,3.813,0.137,0,G
2.6,510,510,2980,4,14,1,6,2,2.846,-0.246,1,G
3.16,530,560,3608,0,15,2,111,2,3.6,-0.44,0,G
3.6,670,560,4110,3,17,2,111,1,2,1.6,1,G
2.7,610,610,3290,4,15,3,140,1,1.333,1.367,0,N
3.65,560,600,4080,3,16,2,112,2,2.938,0.712,0,G
2.18,520,520,2704,4,13,1,6,0,0.846,1.334,0,N
3.85,600,600,4280,0,16,2,111,3,3.8,0.05,0,G
3.27,490,500,3606,3,16,2,112,2,3.063,0.207,0,G
3.25,490,500,3590,4,16,1,6,2,3.4,-0.15,0,G
3.18,660,660,3754,4,16,2,112,4,3.067,0.113,0,N
3.11,510,510,3468,2,14,2,111,3,3.357,-0.247,0,G
3.5,360,580,3740,3,12,,,,2.333,1.167,0,N
4,620,620,4440,4,16,,,,3.625,0.375,0,G
3,610,610,3610,4,16,2,112,3,3.067,-0.067,0,G
3.45,540,540,3740,2,16,2,112,2,2.467,0.983,1,G
3.07,500,460,3416,3,16,2,112,0,2.667,0.403,0,G
3.3,640,700,3970,4,16,2,112,4,3.8,-0.5,1,G
3,690,690,3760,4,14,2,112,4,3.385,-0.385,1,N
2.95,450,580,3390,1,17,2,112,0,1.214,1.736,0,N
2.8,560,560,3260,1,16,3,222,4,2.813,-0.013,1,N
2.65,500,490,3110,4,16,,,,2.833,-0.183,0,N
2.51,540,520,3068,3,14,1,6,0,0.214,2.296,0,N
3.8,520,520,3950,4,13,2,111,2,2.833,0.967,0,G
2.07,460,410,2526,0,12,,,,2,0.07,0,G
3.17,540,540,3596,1,15,4,140,2,2.667,0.503,0,G
2.62,550,490,3136,4,16,1,6,2,3.2,-0.58,1,N
3.02,570,570,3556,4,16,1,6,1,1.533,1.487,0,N
2.49,520,520,2932,0,16,2,111,1,1.133,1.357,1,G
2.3,500,500,2770,4,12,,,,2.5,-0.2,0,N
3.7,460,460,3820,3,14,2,112,3,2.714,0.986,1,G
2.69,450,450,3022,3,17,1,6,2,2.077,0.613,1,G
2.79,610,610,3322,0,14,2,111,0,0.5,2.29,0,N
3.52,600,600,3946,0,16,2,112,3,3.25,0.27,1,N
2.55,490,520,3050,4,16,1,6,3,1.417,1.133,0,N
3.94,560,480,4192,0,17,3,241,2,2.647,1.293,0,G
3.78,620,520,4164,2,15,2,111,1,2.357,1.423,0,G
3.01,490,490,3358,0,16,1,6,3,2.467,0.543,0,N
3,620,600,3620,4,17,2,111,2,2.706,0.294,0,G
3.42,590,590,3726,3,16,3,220,4,2.875,0.545,0,G
2.59,490,430,2992,0,13,4,140,0,1.615,0.975,0,N
3.11,430,430,3288,3,15,2,111,0,0.429,2.681,0,N
3.34,500,470,3642,4,15,3,140,2,2.5,0.84,0,G
3.43,660,560,3964,4,16,2,112,4,3.467,-0.037,0,G
2.77,400,400,2986,4,14,1,6,0,1.769,1.001,0,N
3,460,400,3260,4,16,1,6,2,3.067,-0.067,0,N
3.43,700,620,4064,3,18,2,111,3,3.167,0.263,0,G
3.48,510,450,3744,4,17,2,111,0,1.375,2.105,1,N
3.74,640,620,4252,4,16,2,111,1,2.8,0.94,0,N
2.43,540,420,2904,4,16,1,6,0,0.8,1.63,0,N
3.68,670,610,4224,2,16,2,111,3,3.625,0.055,0,G
3.87,630,630,4296,1,16,2,111,4,4,-0.13,0,G
3,470,420,3290,4,16,1,6,3,2.133,0.867,1,N
2.9,450,410,3180,0,17,1,6,1,1.938,0.962,0,N
3.41,470,540,3738,0,17,1,6,3,3.313,0.097,0,G
3.33,390,440,3494,0,14,1,6,3,2.538,0.792,0,N
2.79,580,540,3352,4,15,2,111,1,2.429,0.361,0,G
2.7,530,530,3160,4,16,2,111,1,2.133,0.567,1,G
3.21,600,620,3788,0,16,1,6,0,1.267,1.943,1,G
3.7,560,560,4070,3,16,3,241,4,3.5,0.2,0,N
2.38,380,380,2654,0,15,1,6,2,1.357,1.023,1,N
3.02,670,670,3676,4,17,2,112,0,3.063,-0.043,0,N
3.4,400,400,3500,1,17,,,,2.692,0.708,1,G
3.42,510,450,3696,3,17,1,6,1,2.412,1.008,0,G
3.88,600,600,4274,2,16,2,112,3,3,0.88,0,N
3.7,360,520,3840,0,17,3,220,3,3.588,0.112,0,G
4,570,620,4340,4,15,2,112,4,3.286,0.714,0,N
3.39,520,520,3692,2,16,1,6,3,2.333,1.057,1,N
2.88,490,490,3234,0,14,1,6,2,2.846,0.034,0,N
3.36,580,540,3808,0,17,2,111,2,2.941,0.419,0,G
3.1,540,540,3560,4,16,2,112,0,3,0.1,1,N
2.81,530,530,3288,4,16,2,111,1,1.938,0.872,0,G
3.44,690,600,4042,0,17,,,,3.615,-0.175,0,G
3.09,580,600,3612,0,15,2,112,1,1.917,1.173,1,G
2.7,530,530,3180,4,16,1,6,2,2.867,-0.167,0,N
3.3,500,500,3620,1,17,2,112,1,2.429,0.871,0,N
3.71,640,570,4178,3,16,2,112,3,3.438,0.272,1,N
3.3,600,500,3740,0,17,2,111,0,2,1.3,0,G
3.15,580,580,3590,0,16,2,111,2,2.667,0.483,0,G
2.37,440,410,2746,4,16,1,6,0,0.667,1.703,0,N
2.75,590,590,3280,0,16,2,111,3,3,-0.25,0,N
2.628,650,650,3262.4,4,12,,,,4,-1.372,0,N
3.36,610,610,3838,4,17,2,112,1,1.875,1.485,0,N
3.73,570,570,4054,0,16,1,6,3,3.438,0.292,0,G
3.25,640,640,3620,0,16,2,112,0,0,3.25,0,G
2.67,510,510,3056,3,17,1,6,0,1.063,1.607,1,N
3.89,550,550,4182,2,16,2,111,4,4,-0.11,0,G
3.52,460,460,3676,3,15,1,6,3,2.4,1.12,1,N
2.93,530,530,3364,4,16,1,6,1,1.333,1.597,1,N
3.46,510,440,3718,3,16,2,120,3,2.625,0.835,0,N
2.7,410,410,2930,0,12,,,,2.333,0.367,1,N
3.51,580,580,3958,0,14,3,241,2,3,0.51,0,G
3.45,620,620,3950,3,16,3,241,4,3.438,0.012,0,N
3.87,460,450,4006,4,15,2,111,1,2.643,1.227,1,G
2.7,590,590,3270,1,15,2,112,2,2.071,0.629,1,N
1.94,480,480,2492,4,17,1,6,2,0.824,1.116,0,N
3.54,680,680,4112,0,16,3,142,4,3.813,-0.273,1,G
2.3,490,600,2930,0,16,2,111,0,2.067,0.233,0,G
2.3,550,550,2860,0,17,2,111,1,1.563,0.737,1,N
2.83,410,410,3084,1,15,1,6,4,4,-1.17,1,G
2.59,700,480,3252,0,14,1,6,0,1.692,0.898,0,N
3.3,700,700,3970,0,16,2,112,4,4,-0.7,1,G
2.39,600,600,3112,0,16,2,112,3,2.867,-0.477,0,N
3.76,560,460,4028,0,13,3,241,1,1.923,1.837,0,N
2.57,570,470,3096,0,16,1,6,0,0.938,1.632,0,N
3.25,460,450,3510,4,13,,,,0.667,2.583,1,N
2.4,530,530,2900,0,16,1,6,2,1.2,1.2,0,G
3.26,650,590,3848,1,16,2,111,2,3.4,-0.14,1,G
3,500,410,3310,0,15,1,6,3,2.467,0.533,0,G
3.76,630,650,4288,2,15,2,112,1,2.357,1.403,0,G
2.81,540,540,3258,0,15,1,6,3,2.867,-0.057,0,N
2.79,630,630,3362,3,16,2,111,2,1.3,1.49,1,G
3.36,620,620,3868,0,16,1,6,1,1.417,1.943,1,N
2.9,420,400,3140,0,16,2,111,0,2.063,0.837,0,N
3.08,500,490,3454,3,14,1,6,2,1.846,1.234,0,G
3.26,620,620,3748,4,16,2,111,4,3.333,-0.073,0,G
3.21,580,500,3648,4,17,1,6,1,2.063,1.147,0,N
2.7,610,610,3270,3,16,2,111,4,4,-1.3,0,G
3.9,600,600,4300,0,17,2,112,4,3.063,0.837,0,G
3.63,720,640,4264,0,17,2,111,3,3,0.63,0,N
3.09,600,600,3632,0,15,2,112,0,1.267,1.823,0,G
2.7,570,480,3210,4,16,,,,0.5,2.2,0,N
3.48,590,590,3944,3,16,2,111,4,3.765,-0.285,0,G
3.75,520,580,4010,1,17,2,112,4,3.25,0.5,0,G
3.37,450,560,3676,2,17,2,112,1,2.438,0.932,0,G
3.79,560,460,4052,3,16,3,222,3,3.438,0.352,1,G
3.61,520,520,3888,4,16,2,112,4,3.063,0.547,0,G
2.7,620,640,3420,2,16,,,,1.667,1.033,0,N
3.31,740,700,4088,2,16,,,,3.813,-0.503,1,G
2.75,450,420,3070,2,14,,,,2.1,0.65,1,N
3.11,530,530,3518,0,14,1,6,2,1.462,1.648,1,G
