hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
2.82,810,2,16,1,0,0,2.82,0, ,2.82,N
3.6,1130,3,16,1,3,3.563,0.037,0,2.436,1.164,N
2.97,1220,4,16,,,0.833,2.137,0, ,2.97,N
4,1160,0,16,4,4,3.813,0.187,0,3.6,0.4,G
3.47,970,0,15,2,2,2,1.47,0,2.236,1.234,G
3.4,1020,0,16,2,3,3.2,0.2,1,3.2,0.2,N
2.7,1100,3,15,2,1,1.933,0.767,1,2.602,0.098,G
3,1050,3,16,4,2,2.563,0.437,0,2.543,0.457,G
3.55,1170,4,16,4,3,3.375,0.175,0,3.192,0.358,G
3.41,1120,0,16,1,3,3.375,0.035,0,3.796,-0.386,G
2.88,1120,0,16,2,3,3,-0.12,1,3.633,-0.753,G
2.44,820,0,16,2,0,1.375,1.065,0,1.375,1.065,N
2.78,1050,1,15,2,0,1.6,1.18,0,2.509,0.271,G
2.3,840,0,14,2,0,2.5,-0.2,0,2.5,-0.2,N
3.47,1130,0,16,2,4,3.267,0.203,1,3.606,-0.136,G
2.56,930,0,12,2,0,0,2.56,1,2.52,0.04,G
3.86,1240,4,15,4,3,3.533,0.327,0,3.095,0.765,G
3.05,980,1,17,2,3,3.471,-0.421,1,3.62,-0.57,G
3.4,1180,3,15,2,3,3.6,-0.2,1,3.385,0.015,G
3.47,930,0,17,1,2,2.706,0.764,0,2.45,1.02,G
3.08,1200,0,15,3,1,1.4,1.68,1,2.196,0.884,N
3.95,1380,4,16,4,4,4,-0.05,1,3.842,0.108,G
3.9,910,1,15,4,4,3.4,0.5,0,3.271,0.629,G
4,1260,3,13,4,4,3.385,0.615,0,3.148,0.852,G
3.3,990,1,17,4,0,1.286,2.014,1,1.286,2.014,N
3.27,1050,0,16,2,2,3.063,0.207,0,3.434,-0.164,G
3,1170,0,16,2,3,2.667,0.333,1,3.48,-0.48,G
3.76,1260,3,16,2,4,4,-0.24,0, ,3.76,N
3.14,1110,3,16,2,2,2.733,0.407,0,2.561,0.579,N
3.3,1170,4,16,4,1,1.063,2.237,0,2.318,0.982,N
3.55,1280,4,16,4,4,3.813,-0.263,0,3.813,-0.263,N
3,1260,2,16,4,1,1.231,1.769,0,3.186,-0.186,G
2.7,1010,3,17,2,2,2.941,-0.241,0,2.702,-0.002,N
3.25,1040,0,16,2,0,2.125,1.125,0,2.125,1.125,N
3.26,810,0,17,2,0,2.571,0.689,0,3.01,0.25,G
3.73,1350,3,16,4,3,3.125,0.605,1,2.563,1.167,N
2.98,1060,0,17,4,3,2.824,0.156,1,2,0.98,G
2.34,920,3,15,1,2,1.714,0.626,1,2.732,-0.392,G
3.64,1190,4,17,,,3.118,0.522,0,3.635,0.005,G
3.28,1080,4,15,2,3,3.286,-0.006,0,3.471,-0.191,G
3.64,970,0,17,4,1,2.588,1.052,1,2.856,0.784,N
3,1180,3,16,2,3,3.133,-0.133,0, ,3,N
3.42,1130,3,16,4,2,2.375,1.045,0,2.412,1.008,G
2.75,1110,3,17,2,1,1.688,1.062,1,2.05,0.7,N
3.66,1190,0,16,2,4,3.125,0.535,0,3.347,0.313,G
3.37,1020,4,17,3,1,1.462,1.908,0,1.462,1.908,N
2.7,960,0,16,4,1,2.5,0.2,0,2.984,-0.284,G
3.1,1050,1,12,,,3.25,-0.15,0,3.306,-0.206,N
4,1260,0,16,4,2,2.923,1.077,0,3.683,0.317,G
3.94,980,4,16,2,3,2.385,1.555,0, ,3.94,N
3.95,1360,2,16,4,4,4,-0.05,0,4,-0.05,G
3.3,1160,4,16,,,2.875,0.425,0,3.104,0.196,G
4,1380,2,16,4,4,4,0,1,3.894,0.106,G
2.7,990,4,15,1,3,1.733,0.967,0, ,2.7,N
2.57,1080,1,16,2,0,2.583,-0.013,1,2.292,0.278,N
3.37,1190,4,16,4,3,2.625,0.745,0,2.813,0.557,G
2.75,1040,1,16,1,2,2.154,0.596,0,2.364,0.386,G
3.21,1110,0,17,1,0,2,1.21,1,3,0.21,G
3.55,1140,2,17,1,3,2.882,0.668,0,4,-0.45,N
3.03,860,0,16,,,2.231,0.799,0,2.76,0.27,G
3.11,950,3,14,2,1,2.357,0.753,0,2.197,0.913,N
3.02,1200,4,14,1,1,1.308,1.712,0,1.308,1.712,N
2,1190,3,13,2,0,0.692,1.308,0,0.692,1.308,N
3.66,1270,2,17,4,3,2.529,1.131,0,2.733,0.927,G
3.55,1340,4,16,4,3,3.063,0.487,0,3.06,0.49,G
3.23,1030,4,16,2,2,3.063,0.167,0,3.217,0.013,N
3.6,980,4,15,4,3,2.2,1.4,0,2.881,0.719,G
3.85,1240,3,16,5,3,3.375,0.475,1,3.102,0.748,G
3.13,1170,2,12,,,3,0.13,0,2.551,0.579,G
2.9,850,3,17,1,3,2.706,0.194,1,2.582,0.318,G
3.96,1100,4,12,,,3.833,0.127,0,3.694,0.266,N
3.3,1170,2,16,2,4,3.625,-0.325,1,2.851,0.449,G
3.99,1400,4,17,4,3,2.917,1.073,1,2.917,1.073,N
3.744,1120,1,16,1,3,3.625,0.119,0,3.641,0.103,G
3,760,0,15,1,4,3.4,-0.4,0,3.315,-0.315,G
3.97,1190,1,16,2,3,3.769,0.201,0,3.769,0.201,N
3.92,1490,4,16,4,3,3.563,0.357,1,3.714,0.206,G
3.13,880,1,16,2,1,2.563,0.567,0,2.203,0.927,N
3.7,1280,0,17,4,3,3.353,0.347,1,3.26,0.44,G
2.7,810,3,17,2,1,1.75,0.95,0,2.887,-0.187,G
